matrix(4907, 1)
( 20 )
( 10.6432 )
( 20 )
( 20 )
( 20 )
( 20 )
( 10.6495 )
( 2.75785 )
( 5.31777 )
( 15.1239 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 14.9846 )
( 20 )
( 10.5117 )
( 0 )
( 0 )
( 5.33255 )
( 0 )
( 0 )
( 14.8977 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 15.0641 )
( 20 )
( 15.0124 )
( 0 )
( 20 )
( 10.6886 )
( 0 )
( 0 )
( 0 )
( 5.25749 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 15.02 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 14.8809 )
( 20 )
( 14.7892 )
( 0 )
( 20 )
( 15.1208 )
( 0 )
( 0 )
( 20 )
( 10.5983 )
( 0 )
( 0 )
( 0 )
( 0 )
( 5.33503 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 15.0981 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 15.1067 )
( 20 )
( 14.7126 )
( 0 )
( 20 )
( 15.0136 )
( 0 )
( 0 )
( 20 )
( 14.9985 )
( 0 )
( 0 )
( 0 )
( 20 )
( 10.5356 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 5.30696 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 14.8947 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 14.9729 )
( 20 )
( 15.0687 )
( 0 )
( 20 )
( 15.0876 )
( 0 )
( 0 )
( 20 )
( 15.0011 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.037 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 10.718 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 5.27759 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 15.082 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 14.8722 )
( 20 )
( 14.6383 )
( 0 )
( 20 )
( 15.0893 )
( 0 )
( 0 )
( 20 )
( 14.7556 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.7588 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0857 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 10.5471 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 5.34659 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 15.0086 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 15.1356 )
( 20 )
( 14.8286 )
( 0 )
( 20 )
( 15.0049 )
( 0 )
( 0 )
( 20 )
( 15.1149 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.794 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0965 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0009 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 10.5922 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 5.27567 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 14.919 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 14.935 )
( 20 )
( 15.022 )
( 0 )
( 20 )
( 15.1363 )
( 0 )
( 0 )
( 20 )
( 14.8974 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0791 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.1102 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.9257 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.1133 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 10.6993 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 5.29768 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 15.1304 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 14.8604 )
( 20 )
( 14.5501 )
( 0 )
( 20 )
( 15.0018 )
( 0 )
( 0 )
( 20 )
( 14.7491 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.6121 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0579 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.6322 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.7647 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.966 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 8.00668 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 5.31697 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 15.0443 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 20 )
( 20 )
( 15.1117 )
( 20 )
( 14.9377 )
( 0 )
( 20 )
( 15.0227 )
( 0 )
( 0 )
( 20 )
( 15.1361 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.9004 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0793 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.11 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.9287 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.1131 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 10.6993 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 2.68347 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 5.31883 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 5.29973 )
( 20 )
( 14.9174 )
( 0 )
( 20 )
( 15.1352 )
( 0 )
( 0 )
( 20 )
( 14.8252 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0038 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.1145 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.7903 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0957 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0006 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 10.5915 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 5.27809 )
( 0 )
( 20 )
( 15.011 )
( 0 )
( 0 )
( 20 )
( 14.8735 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.6418 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0912 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.7567 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.7618 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0872 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 10.5471 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 5.34845 )
( 0 )
( 0 )
( 20 )
( 15.081 )
( 0 )
( 0 )
( 0 )
( 20 )
( 14.9749 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0682 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0865 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0032 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 15.0358 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 20 )
( 10.7178 )
( 0 )
( 0 )
