matrix(12208, 1)
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
